OT6 BREAK-FLOOR CLASSIFIER -- REVIEW DUMP
GENERATED by tools/gen_break_floor.py -- do not edit by hand.

SUMMARY COUNTS (floor-live species only)
  total species          : 384
  AUTHORED (Ot6ShieldTbl): 74  <- never reach the floor; excluded below
  floor-live             : 310
  PIERCE   ($02)  : 54
  SLASH    ($01)  : 238
  BLUDGEON ($04)  : 18
  by origin: explicit 1 / inferred 88 / defaulted 221

PRECEDENCE: PIERCE > BLUDGEON > SLASH > DEFAULT(->SLASH)
ORIGIN: AUTHORED = has an Ot6ShieldTbl row (floor byte unreachable);
        explicit = OVERRIDES exact-name hit; inferred = keyword substring;
        defaulted = nothing matched, slash fallback.

FULL ASSIGNMENT TABLE
 id | name         | class    | origin    | rule_matched
166 | Enuo           | DEFAULT
167 | Deep Eye       | DEFAULT
169 | NeckHunter     | DEFAULT
170 | Grenade        | DEFAULT
171 | Critic         | DEFAULT
172 | Pan Dora       | DEFAULT
173 | SoulDancer     | DEFAULT
176 | Spek Tor       | DEFAULT
177 | Parasite       | DEFAULT
180 | Anemone        | DEFAULT
181 | Hipocampus     | DEFAULT
182 | Spectre        | DEFAULT
183 | Evil Oscar     | DEFAULT
185 | Latimeria      | DEFAULT
186 | StillGoing     | DEFAULT
187 | Allo Ver       | DEFAULT
188 | Phase          | DEFAULT
189 | Outsider       | DEFAULT
190 | Barb-e         | DEFAULT
191 | Parasoul       | DEFAULT
192 | Pm Stalker     | DEFAULT
193 | Hemophyte      | DEFAULT
195 | Nohrabbit      | DEFAULT
196 | Wizard         | DEFAULT
197 | Scrapper       | DEFAULT
200 | Opinicus       | DEFAULT
201 | Poppers        | DEFAULT
202 | Lunaris        | DEFAULT
204 | Vindr          | DEFAULT
205 | Kiwok          | DEFAULT
207 | Rinn           | DEFAULT
209 | Vermin         | DEFAULT
211 | Bogy           | DEFAULT
215 | Dante          | DEFAULT
218 | Psychot        | DEFAULT
219 | Muus           | DEFAULT
221 | Punisher       | DEFAULT
224 | GtBehemoth     | DEFAULT
227 | Spit Fire      | DEFAULT
228 | Vectagoyle     | DEFAULT
230 | Osprey         | DEFAULT
231 | Mag Roader     | DEFAULT
232 | Bug            | DEFAULT
234 | Fortis         | DEFAULT
235 | Abolisher      | DEFAULT
236 | Aquila         | DEFAULT
237 | Junk           | DEFAULT
240 | Tap Dancer     | DEFAULT
241 | Necromancr     | DEFAULT
242 | Borras         | DEFAULT
243 | Mag Roader     | DEFAULT
246 | Innoc          | DEFAULT
247 | Trixter        | DEFAULT
249 | Didalos        | DEFAULT
250 | Woolly         | DEFAULT
252 | Sky Base       | DEFAULT
254 | Io             | DEFAULT
257 | Presenter      | DEFAULT
261 | Prometheus     | DEFAULT
268 | Inferno        | DEFAULT
281 | SrBehemoth     | DEFAULT
282 | Kefka          | DEFAULT
283 | Tentacle       | DEFAULT
284 | Dullahan       | DEFAULT
285 | Doom Gaze      | DEFAULT
286 | Chadarnook     | DEFAULT
287 | Curley         | DEFAULT
288 | Larry          | DEFAULT
289 | Moe            | DEFAULT
290 | Wrexsoul       | DEFAULT
291 | Hidon          | DEFAULT
292 | KatanaSoul     | DEFAULT
293 | L.30 Magic     | DEFAULT
294 | Hidonite       | DEFAULT
295 | Doom           | DEFAULT
296 | Goddess        | DEFAULT
297 | Poltrgeist     | DEFAULT
298 | Kefka          | DEFAULT
299 | L.40 Magic     | DEFAULT
304 | L.20 Magic     | DEFAULT
305 | Siegfried      | DEFAULT
306 | L.10 Magic     | DEFAULT
307 | L.50 Magic     | DEFAULT
309 | Whelk Head     | DEFAULT
313 | L.60 Magic     | DEFAULT
315 | B.Day Suit     | DEFAULT
316 | Tentacle       | DEFAULT
317 | Tentacle       | DEFAULT
318 | Tentacle       | DEFAULT
321 | Rough          | DEFAULT
322 | Striker        | DEFAULT
323 | L.70 Magic     | DEFAULT
328 | Chadarnook     | DEFAULT
342 | Specter        | DEFAULT
343 | Short Arm      | DEFAULT
344 | Long Arm       | DEFAULT
345 | Face           | DEFAULT
347 | Tools          | DEFAULT
348 | Magic          | DEFAULT
349 | Hit            | DEFAULT
350 | Girl           | DEFAULT
351 | Sleep          | DEFAULT
352 | Hidonite       | DEFAULT
353 | Hidonite       | DEFAULT
354 | Hidonite       | DEFAULT
355 | L.80 Magic     | DEFAULT
356 | L.90 Magic     | DEFAULT
358 | MagiMaster     | DEFAULT
359 | SoulSaver      | DEFAULT
361 | Naughty        | DEFAULT
362 | Phunbaba       | DEFAULT
363 | Phunbaba       | DEFAULT
364 | Phunbaba       | DEFAULT
365 | Phunbaba       | DEFAULT
366 | (unused/empty) | DEFAULT(empty)
367 | (unused/empty) | DEFAULT(empty)
368 | (unused/empty) | DEFAULT(empty)
369 | Zone Eater     | DEFAULT
370 | (unused/empty) | DEFAULT(empty)
371 | (unused/empty) | DEFAULT(empty)
372 | (unused/empty) | DEFAULT(empty)
375 | (unused/empty) | DEFAULT(empty)
376 | (unused/empty) | DEFAULT(empty)
378 | (unused/empty) | DEFAULT(empty)
379 | (unused/empty) | DEFAULT(empty)
380 | (unused/empty) | DEFAULT(empty)
381 | Atma           | DEFAULT
382 | (unused/empty) | DEFAULT(empty)
383 | (unused/empty) | DEFAULT(empty)

INFERRED (a keyword matched -- which is not the same as reviewed;
a substring can fire on the wrong body, e.g. 'rhino' on a machine)
count: 88
------------------------------------------------------------------
  5 | Orog           | BLUDGEON | BLUDGEON:orog
  7 | Retainer       | PIERCE   | PIERCE:retainer
 16 | Osteosaur      | PIERCE   | PIERCE:saur
 17 | Commander      | PIERCE   | PIERCE:commander
 19 | Were-Rat       | SLASH    | SLASH:rat
 21 | Rhinotaur      | SLASH    | SLASH:rhino
 22 | Steroidite     | BLUDGEON | BLUDGEON:steroidite
 23 | Leafer         | SLASH    | SLASH:leaf
 24 | Stray Cat      | SLASH    | SLASH:cat
 33 | Mesosaur       | PIERCE   | PIERCE:saur
 34 | Pterodon       | PIERCE   | PIERCE:ptero
 35 | FossilFang     | PIERCE   | PIERCE:fossil
 36 | White Drgn     | PIERCE   | PIERCE:drgn
 37 | Doom Drgn      | PIERCE   | PIERCE:drgn
 38 | Brachosaur     | PIERCE   | PIERCE:brach
 39 | Tyranosaur     | PIERCE   | PIERCE:tyrano
 43 | Harpy          | SLASH    | SLASH:harpy
 44 | HermitCrab     | PIERCE   | PIERCE:crab
 46 | Hornet         | PIERCE   | PIERCE:hornet
 47 | CrassHoppr     | PIERCE   | PIERCE:hoppr
 48 | Delta Bug      | PIERCE   | PIERCE:delta
 49 | Gilomantis     | PIERCE   | PIERCE:mantis
 54 | Trilobiter     | PIERCE   | PIERCE:trilob
 56 | Nautiloid      | PIERCE   | PIERCE:nautilo
 57 | Exocite        | PIERCE   | PIERCE:exocite
 60 | Lizard         | SLASH    | SLASH:lizard
 66 | M-TekArmor     | PIERCE   | PIERCE:armor
 67 | Sky Armor      | PIERCE   | PIERCE:armor
 70 | Vaporite       | BLUDGEON | BLUDGEON:vaporite
 84 | Pug            | BLUDGEON | BLUDGEON:pug
103 | Covert         | PIERCE   | PIERCE:covert
104 | Ogor           | BLUDGEON | BLUDGEON:ogor
115 | Sewer Rat      | SLASH    | SLASH:rat
119 | Wild Cat       | SLASH    | SLASH:cat
124 | Chitonid       | PIERCE   | PIERCE:chiton
129 | Wyvern         | PIERCE   | PIERCE:wyvern
130 | Zombone        | BLUDGEON | BLUDGEON:bone
131 | Dragon         | PIERCE   | PIERCE:dragon
133 | Allosaurus     | PIERCE   | PIERCE:saur
138 | GloomShell     | PIERCE   | PIERCE:shell
148 | Primordite     | BLUDGEON | BLUDGEON:primordite
153 | Geckorex       | SLASH    | SLASH:gecko
155 | Land Worm      | SLASH    | SLASH:worm
156 | Test Rider     | PIERCE   | PIERCE:rider
157 | PlutoArmor     | PIERCE   | PIERCE:armor
161 | Scullion       | SLASH    | SLASH:lion
168 | GreaseMonk     | BLUDGEON | BLUDGEON:monk
174 | Gigantos       | BLUDGEON | BLUDGEON:gigant
178 | EarthGuard     | PIERCE   | PIERCE:guard
179 | Coelecite      | BLUDGEON | BLUDGEON:coelecite
184 | Slurm          | BLUDGEON | BLUDGEON:slurm
194 | Sp Forces      | PIERCE   | PIERCE:forces
198 | Ceritops       | PIERCE   | PIERCE:ceritops
206 | Nastidon       | PIERCE   | PIERCE:nastidon
208 | Insecare       | PIERCE   | PIERCE:insecare
210 | Mantodea       | PIERCE   | PIERCE:mantodea
212 | Prussian       | PIERCE   | PIERCE:prussian
213 | Black Drgn     | PIERCE   | PIERCE:drgn
214 | Adamanchyt     | BLUDGEON | BLUDGEON:adaman
216 | Wirey Drgn     | PIERCE   | PIERCE:drgn
217 | Dueller        | PIERCE   | PIERCE:dueller
220 | Karkass        | BLUDGEON | BLUDGEON:karkass
225 | Scorpion       | PIERCE   | PIERCE:scorpion
226 | Chaos Drgn     | PIERCE   | PIERCE:drgn
229 | Lich           | BLUDGEON | BLUDGEON:lich
233 | Sea Flower     | SLASH    | SLASH:flower
239 | 1st Class      | PIERCE   | PIERCE:1st class
244 | Wild Rat       | SLASH    | SLASH:rat
245 | Gold Bear      | SLASH    | SLASH:bear
248 | Red Wolf       | SLASH    | SLASH:wolf
251 | Veteran        | PIERCE   | PIERCE:veteran
253 | IronHitman     | PIERCE   | PIERCE:iron
255 | Pugs           | BLUDGEON | BLUDGEON:pug
258 | Mega Armor     | PIERCE   | PIERCE:armor
271 | Umaro          | BLUDGEON | BLUDGEON:umaro
272 | Umaro          | BLUDGEON | BLUDGEON:umaro
310 | Colossus       | PIERCE   | PIERCE:colossus
311 | CzarDragon     | PIERCE   | PIERCE:dragon
312 | Master Pug     | BLUDGEON | BLUDGEON:pug
329 | Ice Dragon     | PIERCE   | PIERCE:dragon
331 | Storm Drgn     | PIERCE   | PIERCE:drgn
332 | Dirt Drgn      | PIERCE   | PIERCE:drgn
336 | Gold Drgn      | PIERCE   | PIERCE:drgn
337 | Skull Drgn     | PIERCE   | PIERCE:drgn
338 | Blue Drgn      | PIERCE   | PIERCE:drgn
339 | Red Dragon     | PIERCE   | PIERCE:dragon
346 | Tiger          | SLASH    | SLASH:tiger
377 | Soldier        | PIERCE   | PIERCE:soldier

EXPLICIT (OVERRIDES exact-name entries -- floor-live ones only)
count: 1
------------------------------------------------------------------
238 | Mandrake       | SLASH    | SLASH:override
